,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0021800661,1610612759,SAS,San Antonio,201942,DeMar DeRozan,F,,10:33,111.3,110.0,90.5,90.0,20.8,20.0,0.429,0.0,42.9,0.0,0.0,0.0,0.0,0.5,0.5,0.174,0.176,90.25,91.07,75.89,20,0.172
1,0021800661,1610612759,SAS,San Antonio,200752,Rudy Gay,F,,7:23,108.1,107.1,64.8,64.3,43.2,42.9,0.0,0.0,0.0,0.125,0.0,0.071,0.0,0.5,0.615,0.294,0.296,90.34,91.12,75.93,14,0.375
2,0021800661,1610612759,SAS,San Antonio,200746,LaMarcus Aldridge,C,,4:08,125.0,125.0,72.7,71.4,52.3,53.6,0.0,0.0,0.0,0.5,0.0,0.333,40.0,0.667,0.667,0.556,0.556,86.4,87.1,72.58,8,-0.042
3,0021800661,1610612759,SAS,San Antonio,1628401,Derrick White,G,,4:02,130.8,128.6,139.6,137.5,-8.8,-8.9,0.25,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.568,0.143,0.145,87.83,89.26,74.38,7,0.0
4,0021800661,1610612759,SAS,San Antonio,1627854,Bryn Forbes,G,,5:28,121.5,120.0,141.7,140.0,-20.2,-20.0,0.0,0.0,0.0,0.0,0.333,0.167,0.0,0.5,0.5,0.2,0.202,86.75,87.8,73.17,10,0.083
5,0021800661,1610612759,SAS,San Antonio,201988,Patty Mills,,,7:57,100.8,100.0,71.4,66.7,29.3,33.3,0.0,0.0,0.0,0.1,0.0,0.059,0.0,0.833,0.833,0.158,0.159,90.3,93.68,78.07,16,0.433
6,0021800661,1610612759,SAS,San Antonio,201158,Marco Belinelli,,,7:57,100.8,100.0,71.4,66.7,29.3,33.3,0.167,1.0,20.0,0.0,0.286,0.118,20.0,0.0,0.0,0.211,0.212,90.3,93.68,78.07,16,-0.2
7,0021800661,1610612759,SAS,San Antonio,202722,Davis Bertans,,,4:36,112.6,111.1,150.0,133.3,-37.4,-22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.111,0.113,88.07,93.91,78.26,9,0.136
8,0021800661,1610612759,SAS,San Antonio,1627751,Jakob Poeltl,,,4:52,101.4,100.0,77.8,77.8,23.6,22.2,0.0,0.0,0.0,0.0,0.167,0.083,0.0,0.0,0.0,0.0,0.0,88.33,88.92,74.1,9,0.222
9,0021800661,1610612759,SAS,San Antonio,2200,Pau Gasol,,,2:59,102.0,100.0,150.0,150.0,-48.0,-50.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.167,0.17,95.57,96.54,80.45,6,0.0
10,0021800661,1610612742,DAL,Dallas,203084,Harrison Barnes,F,,7:23,64.8,64.3,108.1,107.1,-43.2,-42.9,0.0,0.0,0.0,0.0,0.25,0.143,0.0,0.5,0.5,0.188,0.189,90.34,91.12,75.93,14,0.25
11,0021800661,1610612742,DAL,Dallas,1628467,Maxi Kleber,F,,6:31,58.3,58.3,100.9,100.0,-42.6,-41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.071,91.75,92.19,76.82,12,-0.1
12,0021800661,1610612742,DAL,Dallas,201599,DeAndre Jordan,C,,8:60,75.6,75.0,112.6,111.8,-37.0,-36.8,0.0,0.0,0.0,0.286,0.125,0.2,50.0,1.0,1.064,0.222,0.224,87.44,88.08,73.4,16,0.214
13,0021800661,1610612742,DAL,Dallas,202083,Wesley Matthews,G,,6:31,58.3,58.3,100.9,100.0,-42.6,-41.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.286,0.286,91.75,92.19,76.82,12,-0.4
14,0021800661,1610612742,DAL,Dallas,1629029,Luka Doncic,G,,9:55,106.3,105.6,106.3,100.0,0.0,5.6,0.25,1.0,14.3,0.0,0.222,0.118,14.3,0.7,0.7,0.316,0.318,86.57,89.58,74.65,18,0.164
15,0021800661,1610612742,DAL,Dallas,1628973,Jalen Brunson,,,4:53,110.0,110.0,101.2,100.0,8.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.091,0.091,97.7,98.29,81.91,10,0.129
16,0021800661,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,,,5:38,141.7,140.0,130.1,127.3,11.6,12.7,0.0,0.0,0.0,0.0,0.333,0.167,33.3,1.25,1.25,0.3,0.304,88.01,89.55,74.62,10,0.2
17,0021800661,1610612742,DAL,Dallas,203939,Dwight Powell,,,4:36,150.0,133.3,112.6,111.1,37.4,22.2,0.4,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.125,88.07,93.91,78.26,9,0.0
18,0021800661,1610612742,DAL,Dallas,1717,Dirk Nowitzki,,,2:59,150.0,150.0,102.0,100.0,48.0,50.0,0.0,0.0,0.0,0.0,0.667,0.4,0.0,0.0,0.0,0.167,0.167,95.57,96.54,80.45,6,0.0
19,0021800661,1610612742,DAL,Dallas,2734,Devin Harris,,,2:29,128.9,125.0,150.0,150.0,-21.1,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.16,77.32,64.43,4,0.0
