,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021600011,22,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,9,33,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-5,1,0,20161026,PHI,OKC
1,Shot Chart Detail,0021600011,458,203460,Andre Roberson,1610612760,Oklahoma City Thunder,4,7,27,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,38,1,0,20161026,PHI,OKC
2,Shot Chart Detail,0021600021,82,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,3,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20161028,OKC,PHX
3,Shot Chart Detail,0021600021,309,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,10,5,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,0,20161028,OKC,PHX
4,Shot Chart Detail,0021600021,584,203460,Andre Roberson,1610612760,Oklahoma City Thunder,4,2,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,120,213,1,1,20161028,OKC,PHX
5,Shot Chart Detail,0021600021,653,203460,Andre Roberson,1610612760,Oklahoma City Thunder,5,2,46,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,7,1,1,20161028,OKC,PHX
6,Shot Chart Detail,0021600040,41,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,7,47,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,16,1,0,20161030,OKC,LAL
7,Shot Chart Detail,0021600040,46,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,6,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,3,1,1,20161030,OKC,LAL
8,Shot Chart Detail,0021600040,277,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,9,38,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161030,OKC,LAL
9,Shot Chart Detail,0021600040,299,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,8,2,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,7,1,1,20161030,OKC,LAL
10,Shot Chart Detail,0021600040,317,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,6,10,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,16,1,0,20161030,OKC,LAL
11,Shot Chart Detail,0021600040,334,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,4,35,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161030,OKC,LAL
12,Shot Chart Detail,0021600040,339,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,4,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-197,169,1,0,20161030,OKC,LAL
13,Shot Chart Detail,0021600064,61,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,6,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,2,1,0,20161102,LAC,OKC
14,Shot Chart Detail,0021600064,77,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,5,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,2,1,0,20161102,LAC,OKC
15,Shot Chart Detail,0021600064,260,203460,Andre Roberson,1610612760,Oklahoma City Thunder,2,1,6,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161102,LAC,OKC
16,Shot Chart Detail,0021600064,289,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,10,54,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,26,1,0,20161102,LAC,OKC
17,Shot Chart Detail,0021600064,341,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,4,56,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,18,1,0,20161102,LAC,OKC
18,Shot Chart Detail,0021600069,2,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,11,38,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,38,1,0,20161103,GSW,OKC
19,Shot Chart Detail,0021600069,6,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,10,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,187,170,1,0,20161103,GSW,OKC
20,Shot Chart Detail,0021600069,52,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,6,15,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,0,20161103,GSW,OKC
21,Shot Chart Detail,0021600069,197,203460,Andre Roberson,1610612760,Oklahoma City Thunder,2,7,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,47,1,0,20161103,GSW,OKC
