,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021600012,6,1626164,Devin Booker,1610612756,Phoenix Suns,1,10,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-194,203,1,0,20161026,PHX,SAC
1,Shot Chart Detail,0021600012,18,1626164,Devin Booker,1610612756,Phoenix Suns,1,9,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,197,174,1,0,20161026,PHX,SAC
2,Shot Chart Detail,0021600012,32,1626164,Devin Booker,1610612756,Phoenix Suns,1,7,42,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-66,51,1,1,20161026,PHX,SAC
3,Shot Chart Detail,0021600012,191,1626164,Devin Booker,1610612756,Phoenix Suns,2,6,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,182,174,1,0,20161026,PHX,SAC
4,Shot Chart Detail,0021600012,212,1626164,Devin Booker,1610612756,Phoenix Suns,2,4,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,28,183,1,1,20161026,PHX,SAC
5,Shot Chart Detail,0021600012,214,1626164,Devin Booker,1610612756,Phoenix Suns,2,3,49,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,74,21,1,1,20161026,PHX,SAC
6,Shot Chart Detail,0021600012,224,1626164,Devin Booker,1610612756,Phoenix Suns,2,2,58,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,-21,1,1,20161026,PHX,SAC
7,Shot Chart Detail,0021600012,282,1626164,Devin Booker,1610612756,Phoenix Suns,3,9,17,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,PHX,SAC
8,Shot Chart Detail,0021600012,291,1626164,Devin Booker,1610612756,Phoenix Suns,3,8,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,3,1,0,20161026,PHX,SAC
9,Shot Chart Detail,0021600012,485,1626164,Devin Booker,1610612756,Phoenix Suns,4,5,12,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,1,20161026,PHX,SAC
10,Shot Chart Detail,0021600012,529,1626164,Devin Booker,1610612756,Phoenix Suns,4,2,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,8,1,1,20161026,PHX,SAC
11,Shot Chart Detail,0021600012,550,1626164,Devin Booker,1610612756,Phoenix Suns,4,0,21,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-6,1,1,20161026,PHX,SAC
12,Shot Chart Detail,0021600021,2,1626164,Devin Booker,1610612756,Phoenix Suns,1,11,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,2,1,0,20161028,OKC,PHX
13,Shot Chart Detail,0021600021,18,1626164,Devin Booker,1610612756,Phoenix Suns,1,10,14,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-65,46,1,1,20161028,OKC,PHX
14,Shot Chart Detail,0021600021,21,1626164,Devin Booker,1610612756,Phoenix Suns,1,9,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,73,252,1,1,20161028,OKC,PHX
15,Shot Chart Detail,0021600021,49,1626164,Devin Booker,1610612756,Phoenix Suns,1,6,37,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,7,1,1,20161028,OKC,PHX
16,Shot Chart Detail,0021600021,54,1626164,Devin Booker,1610612756,Phoenix Suns,1,5,57,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,82,228,1,0,20161028,OKC,PHX
17,Shot Chart Detail,0021600021,98,1626164,Devin Booker,1610612756,Phoenix Suns,1,2,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,3,1,0,20161028,OKC,PHX
18,Shot Chart Detail,0021600021,217,1626164,Devin Booker,1610612756,Phoenix Suns,2,5,33,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-48,7,1,0,20161028,OKC,PHX
19,Shot Chart Detail,0021600021,219,1626164,Devin Booker,1610612756,Phoenix Suns,2,5,28,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,105,1,0,20161028,OKC,PHX
20,Shot Chart Detail,0021600021,244,1626164,Devin Booker,1610612756,Phoenix Suns,2,3,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-147,46,1,0,20161028,OKC,PHX
21,Shot Chart Detail,0021600021,254,1626164,Devin Booker,1610612756,Phoenix Suns,2,2,46,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,17,41,1,0,20161028,OKC,PHX
22,Shot Chart Detail,0021600021,279,1626164,Devin Booker,1610612756,Phoenix Suns,2,0,39,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,2,1,0,20161028,OKC,PHX
23,Shot Chart Detail,0021600021,302,1626164,Devin Booker,1610612756,Phoenix Suns,3,10,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,138,23,1,1,20161028,OKC,PHX
24,Shot Chart Detail,0021600021,372,1626164,Devin Booker,1610612756,Phoenix Suns,3,6,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,13,1,0,20161028,OKC,PHX
25,Shot Chart Detail,0021600021,378,1626164,Devin Booker,1610612756,Phoenix Suns,3,6,14,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-150,144,1,1,20161028,OKC,PHX
26,Shot Chart Detail,0021600021,382,1626164,Devin Booker,1610612756,Phoenix Suns,3,5,36,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-12,257,1,0,20161028,OKC,PHX
27,Shot Chart Detail,0021600021,552,1626164,Devin Booker,1610612756,Phoenix Suns,4,5,25,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,8,1,0,20161028,OKC,PHX
28,Shot Chart Detail,0021600021,562,1626164,Devin Booker,1610612756,Phoenix Suns,4,4,27,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,109,85,1,0,20161028,OKC,PHX
29,Shot Chart Detail,0021600021,579,1626164,Devin Booker,1610612756,Phoenix Suns,4,3,7,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,3,1,0,20161028,OKC,PHX
30,Shot Chart Detail,0021600021,582,1626164,Devin Booker,1610612756,Phoenix Suns,4,2,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-223,90,1,0,20161028,OKC,PHX
31,Shot Chart Detail,0021600021,597,1626164,Devin Booker,1610612756,Phoenix Suns,4,1,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,101,228,1,0,20161028,OKC,PHX
32,Shot Chart Detail,0021600021,604,1626164,Devin Booker,1610612756,Phoenix Suns,4,1,11,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-66,52,1,1,20161028,OKC,PHX
33,Shot Chart Detail,0021600021,646,1626164,Devin Booker,1610612756,Phoenix Suns,5,3,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,2,1,1,20161028,OKC,PHX
34,Shot Chart Detail,0021600021,663,1626164,Devin Booker,1610612756,Phoenix Suns,5,1,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,1,20161028,OKC,PHX
