,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0021700656,1610612765,DET,Detroit,203493,Reggie Bullock,F,,5:44,170.0,170.0,161.9,160.0,8.1,10.0,0.0,0.0,0.0,0.2,0.0,0.125,0.0,0.0,0.0,0.077,0.077,83.22,83.72,69.77,10,-0.014
1,0021700656,1610612765,DET,Detroit,202699,Tobias Harris,F,,4:45,111.5,120.0,45.0,44.4,66.5,75.6,0.333,1.0,20.0,0.0,0.0,0.0,20.0,0.667,0.667,0.333,0.34,99.23,96.0,80.0,10,0.4
2,0021700656,1610612765,DET,Detroit,203083,Andre Drummond,C,,7:36,114.2,120.0,81.3,80.0,32.9,40.0,0.2,1.0,20.0,0.333,0.4,0.364,20.0,1.0,1.0,0.222,0.225,96.44,94.8,79.0,15,0.476
3,0021700656,1610612765,DET,Detroit,202340,Avery Bradley,G,,6:13,116.3,123.1,54.3,53.8,61.9,69.2,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.5,0.347,0.25,0.254,102.93,100.46,83.71,13,-0.074
4,0021700656,1610612765,DET,Detroit,202397,Ish Smith,G,,6:13,116.3,123.1,54.3,53.8,61.9,69.2,0.143,0.0,25.0,0.0,0.25,0.1,0.0,0.0,0.174,0.188,0.19,102.93,100.46,83.71,13,0.0
5,0021700656,1610612765,DET,Detroit,201229,Anthony Tolliver,,,7:12,161.5,161.5,136.9,135.7,24.7,25.8,0.286,0.0,50.0,0.0,0.0,0.0,0.0,1.5,1.5,0.118,0.118,89.66,90.06,75.05,13,0.176
6,0021700656,1610612765,DET,Detroit,202779,Dwight Buycks,,,5:44,170.0,170.0,161.9,160.0,8.1,10.0,0.571,0.0,66.7,0.2,0.0,0.125,0.0,0.0,0.0,0.154,0.154,83.22,83.72,69.77,10,0.068
7,0021700656,1610612765,DET,Detroit,1626246,Boban Marjanovic,,,4:21,187.5,166.7,137.5,137.5,50.0,29.2,0.0,0.0,0.0,0.0,0.5,0.143,0.0,0.75,0.75,0.333,0.364,88.28,93.79,78.16,9,0.203
8,0021700656,1610612765,DET,Detroit,204038,Langston Galloway,,,11:57,138.9,143.5,101.1,100.0,37.8,43.5,0.091,0.0,16.7,0.091,0.0,0.056,0.0,0.8,0.8,0.172,0.174,93.47,92.42,77.02,23,0.188
9,0021700656,1610612761,TOR,Toronto,1628384,OG Anunoby,F,,4:21,50.0,50.0,143.4,140.0,-93.4,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.091,0.091,109.15,110.47,92.06,10,-0.065
10,0021700656,1610612761,TOR,Toronto,201586,Serge Ibaka,F,,6:03,54.3,53.8,116.3,123.1,-61.9,-69.2,0.5,1.0,50.0,0.25,0.0,0.1,50.0,0.0,0.0,0.071,0.072,105.77,103.23,86.02,13,-0.034
11,0021700656,1610612761,TOR,Toronto,202685,Jonas Valanciunas,C,,7:36,81.3,80.0,114.2,120.0,-32.9,-40.0,1.0,1.0,14.3,0.0,0.333,0.182,14.3,0.833,0.945,0.353,0.358,96.44,94.8,79.0,15,0.429
12,0021700656,1610612761,TOR,Toronto,201942,DeMar DeRozan,G,,6:13,54.3,53.8,116.3,123.1,-61.9,-69.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.357,0.36,102.93,100.46,83.71,13,-0.37
13,0021700656,1610612761,TOR,Toronto,200768,Kyle Lowry,G,,7:36,81.3,80.0,114.2,120.0,-32.9,-40.0,0.0,0.0,0.0,0.2,0.167,0.182,25.0,0.5,0.5,0.235,0.239,96.44,94.8,79.0,15,0.024
14,0021700656,1610612761,TOR,Toronto,101139,CJ Miles,,,4:21,137.5,137.5,187.5,166.7,-50.0,-29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5,88.28,93.79,78.16,8,0.102
15,0021700656,1610612761,TOR,Toronto,1626153,Delon Wright,,,5:44,161.9,160.0,170.0,170.0,-8.1,-10.0,0.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.22,83.72,69.77,10,0.081
16,0021700656,1610612761,TOR,Toronto,1627783,Pascal Siakam,,,5:54,161.9,160.0,170.0,154.5,-8.1,5.5,0.25,0.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.091,0.092,80.87,85.42,71.19,10,0.083
17,0021700656,1610612761,TOR,Toronto,203512,Lucas Nogueira,,,4:21,137.5,137.5,187.5,166.7,-50.0,-29.2,0.0,0.0,0.0,0.0,0.2,0.143,100.0,0.0,0.0,0.125,0.125,88.28,93.79,78.16,8,-0.034
18,0021700656,1610612761,TOR,Toronto,1626181,Norman Powell,,,7:36,141.1,138.5,135.7,146.2,5.4,-7.7,0.25,0.0,50.0,0.0,0.143,0.091,0.0,1.5,1.5,0.071,0.073,84.51,82.11,68.42,13,0.114
