,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0021700617,1610612759,SAS,San Antonio,203937,Kyle Anderson,F,,8:02,88.1,86.7,106.3,113.3,-18.2,-26.7,0.0,0.0,0.0,0.0,0.333,0.231,33.3,1.0,1.0,0.188,0.203,91.9,89.63,74.69,15,0.214
1,0021700617,1610612759,SAS,San Antonio,200746,LaMarcus Aldridge,F,,7:14,69.8,73.3,113.4,112.5,-43.6,-39.2,0.0,0.0,0.0,0.167,0.0,0.071,33.3,0.0,0.0,0.176,0.179,104.98,102.86,85.71,15,-0.078
2,0021700617,1610612759,SAS,San Antonio,2200,Pau Gasol,C,,7:52,37.8,40.0,127.7,111.8,-89.9,-71.8,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.176,0.178,93.84,97.63,81.36,15,-0.109
3,0021700617,1610612759,SAS,San Antonio,1627854,Bryn Forbes,G,,9:26,69.3,72.2,116.5,115.8,-47.2,-43.6,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.833,0.644,0.25,0.253,95.76,94.13,78.45,18,0.031
4,0021700617,1610612759,SAS,San Antonio,1627749,Dejounte Murray,G,,7:03,117.6,115.4,93.2,92.3,24.4,23.1,0.333,0.0,25.0,0.0,0.5,0.308,0.0,0.667,0.667,0.214,0.218,87.37,88.59,73.83,13,0.4
5,0021700617,1610612759,SAS,San Antonio,201988,Patty Mills,,,2:51,68.0,66.7,85.7,85.7,-17.7,-19.0,1.0,2.0,66.7,0.0,0.25,0.2,33.3,0.0,0.0,0.167,0.17,108.46,109.47,91.23,6,0.182
6,0021700617,1610612759,SAS,San Antonio,202722,Davis Bertans,,,3:43,67.6,66.7,103.1,100.0,-35.5,-33.3,0.0,0.0,0.0,0.0,0.25,0.111,33.3,0.0,0.532,0.273,0.276,107.64,109.97,91.64,9,0.0
7,0021700617,1610612759,SAS,San Antonio,1938,Manu Ginobili,,,4:03,25.0,25.0,159.9,122.2,-134.9,-97.2,1.0,0.0,100.0,0.0,0.333,0.143,0.0,0.0,0.0,0.0,0.0,88.18,100.74,83.95,8,0.087
8,0021700617,1610612759,SAS,San Antonio,203464,Brandon Paul,,,2:19,123.0,120.0,61.5,60.0,61.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.4,103.9,86.58,5,-0.182
9,0021700617,1610612759,SAS,San Antonio,1628401,Derrick White,,,3:53,167.5,162.5,67.6,66.7,100.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.064,0.222,0.228,103.02,105.25,87.7,8,0.2
10,0021700617,1610612759,SAS,San Antonio,1627856,Matt Costello,,,2:19,123.0,120.0,61.5,60.0,61.5,60.0,0.0,0.0,0.0,0.5,0.333,0.4,50.0,0.0,0.0,0.333,0.34,101.4,103.9,86.58,5,-0.273
11,0021700617,1610612747,LAL,Los Angeles,1627742,Brandon Ingram,F,,7:59,107.4,105.9,56.3,58.8,51.1,47.1,0.2,0.0,16.7,0.0,0.0,0.0,0.0,0.5,0.41,0.294,0.298,103.86,102.3,85.25,17,0.047
12,0021700617,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,G,,5:27,110.5,108.3,33.3,33.3,77.2,75.0,0.25,1.0,25.0,0.0,0.0,0.0,25.0,0.5,0.5,0.25,0.255,104.63,105.69,88.07,12,0.25
13,0021700617,1610612747,LAL,Los Angeles,1628366,Lonzo Ball,G,,6:52,101.6,100.0,40.3,42.9,61.3,57.1,0.0,0.0,0.0,0.0,0.167,0.083,0.0,0.625,0.625,0.267,0.271,103.6,101.36,84.47,15,0.357
14,0021700617,1610612747,LAL,Los Angeles,203898,Tyler Ennis,,,4:53,111.1,100.0,148.4,144.4,-37.3,-44.4,0.25,0.0,50.0,0.143,0.0,0.1,0.0,0.0,0.0,0.083,0.1,87.4,93.51,77.92,10,-0.021
15,0021700617,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,11:45,105.2,108.7,80.4,82.6,24.8,26.1,0.125,0.0,16.7,0.0,0.222,0.091,0.0,0.5,0.5,0.2,0.202,96.87,94.01,78.34,23,0.132
16,0021700617,1610612747,LAL,Los Angeles,1626204,Larry Nance Jr.,,,11:45,105.2,108.7,80.4,82.6,24.8,26.1,0.125,0.0,16.7,0.0,0.111,0.045,0.0,0.5,0.615,0.2,0.202,96.87,94.01,78.34,23,0.197
17,0021700617,1610612747,LAL,Los Angeles,203903,Jordan Clarkson,,,3:46,100.0,100.0,153.1,150.0,-53.1,-50.0,0.333,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.125,82.07,82.83,69.03,7,0.0
18,0021700617,1610612747,LAL,Los Angeles,1628404,Josh Hart,,,6:18,100.0,100.0,128.9,125.0,-28.9,-25.0,0.0,0.0,0.0,0.0,0.333,0.083,0.0,1.5,1.5,0.071,0.077,90.15,91.53,76.27,12,0.115
