,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22020,202711,0022001077,"MAY 16, 2021",UTA @ SAC,W,30,5,15,0.333,2,5,0.4,6,6,1.0,1,5,6,4,0,0,4,1,18,19,1
1,22020,202711,0022001056,"MAY 14, 2021",UTA @ OKC,W,27,8,16,0.5,2,5,0.4,4,4,1.0,0,2,2,3,1,0,1,0,22,24,1
2,22020,202711,0022001045,"MAY 12, 2021",UTA vs. POR,L,34,5,14,0.357,0,5,0.0,2,4,0.5,1,3,4,0,0,0,4,2,12,-8,1
3,22020,202711,0022001030,"MAY 10, 2021",UTA @ GSW,L,34,9,21,0.429,4,9,0.444,5,5,1.0,1,5,6,2,2,0,2,3,27,5,1
4,22020,202711,0022001016,"MAY 08, 2021",UTA vs. HOU,W,35,7,16,0.438,1,4,0.25,5,6,0.833,1,4,5,2,0,0,2,2,20,15,1
5,22020,202711,0022001008,"MAY 07, 2021",UTA vs. DEN,W,39,16,23,0.696,8,11,0.727,8,8,1.0,1,7,8,2,2,0,5,4,48,4,1
6,22020,202711,0022000996,"MAY 05, 2021",UTA vs. SAS,W,26,10,13,0.769,3,4,0.75,1,1,1.0,0,2,2,0,2,0,5,2,24,17,1
7,22020,202711,0022000981,"MAY 03, 2021",UTA vs. SAS,W,33,10,17,0.588,2,7,0.286,3,4,0.75,1,2,3,2,0,0,3,0,25,23,1
8,22020,202711,0022000965,"MAY 01, 2021",UTA vs. TOR,W,39,12,22,0.545,6,11,0.545,4,4,1.0,1,3,4,4,0,0,3,1,34,0,1
9,22020,202711,0022000955,"APR 30, 2021",UTA @ PHX,L,28,6,11,0.545,2,6,0.333,8,9,0.889,0,4,4,0,1,0,3,2,22,-19,1
10,22020,202711,0022000942,"APR 28, 2021",UTA @ SAC,W,29,7,16,0.438,1,5,0.2,9,10,0.9,0,3,3,4,1,1,1,1,24,37,1
11,22020,202711,0022000923,"APR 26, 2021",UTA @ MIN,L,29,1,11,0.091,1,7,0.143,4,4,1.0,0,1,1,0,2,0,2,1,7,-6,1
12,22020,202711,0022000909,"APR 24, 2021",UTA vs. MIN,L,36,11,20,0.55,7,13,0.538,1,2,0.5,1,3,4,2,1,0,3,3,30,-3,1
13,22020,202711,0022000887,"APR 21, 2021",UTA @ HOU,W,23,4,13,0.308,3,8,0.375,3,4,0.75,0,0,0,4,1,0,4,1,14,22,1
14,22020,202711,0022000875,"APR 19, 2021",UTA @ LAL,W,31,7,12,0.583,2,6,0.333,3,3,1.0,0,3,3,4,1,0,3,2,19,15,1
15,22020,202711,0022000855,"APR 17, 2021",UTA @ LAL,L,40,5,15,0.333,3,8,0.375,6,6,1.0,0,3,3,2,2,0,2,1,19,-16,1
16,22020,202711,0022000844,"APR 16, 2021",UTA vs. IND,W,33,9,16,0.563,2,6,0.333,4,4,1.0,1,2,3,1,1,0,2,0,24,5,1
17,22020,202711,0022000826,"APR 13, 2021",UTA vs. OKC,W,36,6,14,0.429,1,3,0.333,10,10,1.0,2,5,7,1,0,0,3,1,23,1,1
18,22020,202711,0022000820,"APR 12, 2021",UTA vs. WAS,L,36,10,18,0.556,6,10,0.6,7,8,0.875,0,5,5,1,0,0,2,2,33,7,1
19,22020,202711,0022000801,"APR 10, 2021",UTA vs. SAC,W,27,2,8,0.25,0,4,0.0,4,4,1.0,0,6,6,3,1,0,2,1,8,-9,1
20,22020,202711,0022000787,"APR 08, 2021",UTA vs. POR,W,28,4,13,0.308,2,5,0.4,1,1,1.0,2,3,5,1,1,0,3,2,11,-3,1
21,22020,202711,0022000783,"APR 07, 2021",UTA @ PHX,L,40,8,17,0.471,1,8,0.125,3,5,0.6,0,1,1,0,0,0,1,1,20,-9,1
22,22020,202711,0022000764,"APR 05, 2021",UTA @ DAL,L,34,7,13,0.538,1,3,0.333,1,3,0.333,1,3,4,0,0,0,0,1,16,2,1
23,22020,202711,0022000752,"APR 03, 2021",UTA vs. ORL,W,24,5,10,0.5,4,6,0.667,3,4,0.75,0,4,4,2,1,1,1,2,17,24,1
24,22020,202711,0022000743,"APR 02, 2021",UTA vs. CHI,W,33,8,15,0.533,1,4,0.25,1,1,1.0,2,6,8,1,1,0,0,1,18,5,1
25,22020,202711,0022000725,"MAR 31, 2021",UTA @ MEM,W,32,6,17,0.353,5,12,0.417,6,6,1.0,1,4,5,3,2,0,0,1,23,6,1
26,22020,202711,0022000715,"MAR 29, 2021",UTA vs. CLE,W,24,1,5,0.2,1,2,0.5,0,0,0.0,0,2,2,5,0,0,1,3,3,8,1
27,22020,202711,0022000700,"MAR 27, 2021",UTA vs. MEM,W,27,1,7,0.143,1,2,0.5,0,0,0.0,0,4,4,1,0,0,1,3,3,18,1
28,22020,202711,0022000691,"MAR 26, 2021",UTA vs. MEM,W,32,8,15,0.533,1,3,0.333,0,0,0.0,1,3,4,0,0,0,0,1,17,-1,1
29,22020,202711,0022000676,"MAR 24, 2021",UTA vs. BKN,W,24,5,8,0.625,4,6,0.667,4,5,0.8,0,3,3,3,0,0,2,0,18,36,1
30,22020,202711,0022000656,"MAR 22, 2021",UTA @ CHI,W,30,3,14,0.214,0,5,0.0,2,2,1.0,1,2,3,2,0,0,2,2,8,1,1
31,22020,202711,0022000634,"MAR 19, 2021",UTA @ TOR,W,25,2,5,0.4,1,2,0.5,5,5,1.0,1,1,2,1,0,0,0,0,10,-4,1
32,22020,202711,0022000166,"MAR 18, 2021",UTA @ WAS,L,31,2,12,0.167,0,6,0.0,2,2,1.0,0,5,5,0,3,0,2,4,6,-5,1
