,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22020,1630167,0022001073,"MAY 16, 2021",NYK vs. BOS,W,10,3,5,0.6,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,6,5,1
1,22020,1630167,0022001064,"MAY 15, 2021",NYK vs. CHA,W,7,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,1,0,0,3,-1,1
2,22020,1630167,0022000458,"MAY 13, 2021",NYK vs. SAS,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,3,1
3,22020,1630167,0022001041,"MAY 11, 2021",NYK @ LAL,L,9,2,2,1.0,1,1,1.0,0,0,0.0,1,2,3,2,0,0,0,1,5,5,1
4,22020,1630167,0022001019,"MAY 09, 2021",NYK @ LAC,W,10,3,4,0.75,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,7,-1,1
5,22020,1630167,0022001009,"MAY 07, 2021",NYK @ PHX,L,15,3,4,0.75,2,3,0.667,0,0,0.0,0,1,1,1,2,2,0,1,8,0,1
6,22020,1630167,0022000995,"MAY 05, 2021",NYK @ DEN,L,17,2,6,0.333,0,2,0.0,0,0,0.0,2,4,6,0,0,0,0,1,4,-3,1
7,22020,1630167,0022000980,"MAY 03, 2021",NYK @ MEM,W,10,1,3,0.333,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,2,2,-1,1
8,22020,1630167,0022000971,"MAY 02, 2021",NYK @ HOU,W,17,1,4,0.25,0,1,0.0,3,4,0.75,0,3,3,1,1,1,2,2,5,9,1
9,22020,1630167,0022000937,"APR 28, 2021",NYK vs. CHI,W,11,2,4,0.5,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,4,-1,1
10,22020,1630167,0022000920,"APR 26, 2021",NYK vs. PHX,L,10,3,5,0.6,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,0,6,1,1
11,22020,1630167,0022000904,"APR 24, 2021",NYK vs. TOR,W,9,3,5,0.6,3,4,0.75,0,0,0.0,1,1,2,0,0,0,0,1,9,10,1
12,22020,1630167,0022000886,"APR 21, 2021",NYK vs. ATL,W,12,1,1,1.0,0,0,0.0,0,0,0.0,1,5,6,1,0,0,0,0,2,10,1
13,22020,1630167,0022000877,"APR 20, 2021",NYK vs. CHA,W,5,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-4,1
14,22020,1630167,0022000862,"APR 18, 2021",NYK vs. NOP,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-4,1
15,22020,1630167,0022000854,"APR 16, 2021",NYK @ DAL,W,7,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,0,0,9,1
16,22020,1630167,0022000835,"APR 14, 2021",NYK @ NOP,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,4,1
17,22020,1630167,0022000815,"APR 12, 2021",NYK vs. LAL,W,9,1,2,0.5,0,1,0.0,1,2,0.5,0,2,2,0,0,0,1,1,3,4,1
18,22020,1630167,0022000809,"APR 11, 2021",NYK vs. TOR,W,5,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,1,2,-2,1
19,22020,1630167,0022000793,"APR 09, 2021",NYK vs. MEM,W,15,3,5,0.6,0,2,0.0,2,2,1.0,1,5,6,1,0,0,0,1,8,4,1
20,22020,1630167,0022000778,"APR 07, 2021",NYK @ BOS,L,11,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,1,2,7,1
21,22020,1630167,0022000762,"APR 05, 2021",NYK @ BKN,L,9,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,5,-2,1
22,22020,1630167,0022000748,"APR 03, 2021",NYK @ DET,W,16,3,8,0.375,2,4,0.5,0,0,0.0,0,2,2,1,0,0,0,2,8,19,1
23,22020,1630167,0022000739,"APR 02, 2021",NYK vs. DAL,L,11,4,5,0.8,0,1,0.0,1,1,1.0,1,1,2,0,1,0,1,2,9,5,1
24,22020,1630167,0022000726,"MAR 31, 2021",NYK @ MIN,L,9,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,2,0,0,0,1,3,4,1
25,22020,1630167,0022000710,"MAR 29, 2021",NYK vs. MIA,L,12,1,4,0.25,0,2,0.0,1,2,0.5,0,4,4,1,0,0,0,1,3,6,1
26,22020,1630167,0022000695,"MAR 27, 2021",NYK @ MIL,W,7,3,4,0.75,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,6,-4,1
27,22020,1630167,0022000679,"MAR 25, 2021",NYK vs. WAS,W,11,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,2,1,0,1,0,4,1
28,22020,1630167,0022000662,"MAR 23, 2021",NYK vs. WAS,W,8,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-3,1
29,22020,1630167,0022000650,"MAR 21, 2021",NYK vs. PHI,L,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1
30,22020,1630167,0022000627,"MAR 18, 2021",NYK vs. ORL,W,8,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8,1
31,22020,1630167,0022000611,"MAR 16, 2021",NYK @ PHI,L,7,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,0,-4,1
32,22020,1630167,0022000604,"MAR 15, 2021",NYK @ BKN,L,4,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-12,1
33,22020,1630167,0022000586,"MAR 13, 2021",NYK @ OKC,W,9,2,3,0.667,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,2,4,3,1
34,22020,1630167,0022000573,"MAR 11, 2021",NYK @ MIL,L,19,4,5,0.8,1,1,1.0,1,1,1.0,3,2,5,0,0,0,3,2,10,-14,1
35,22020,1630167,0022000565,"MAR 04, 2021",NYK vs. DET,W,12,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,4,1,1
36,22020,1630167,0022000541,"MAR 02, 2021",NYK @ SAS,L,26,3,7,0.429,1,3,0.333,0,0,0.0,0,4,4,3,1,0,2,0,7,-19,1
37,22020,1630167,0022000521,"FEB 28, 2021",NYK @ DET,W,19,2,5,0.4,0,1,0.0,0,0,0.0,1,3,4,1,1,0,1,4,4,4,1
38,22020,1630167,0022000515,"FEB 27, 2021",NYK vs. IND,W,6,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,1,2,3,1
39,22020,1630167,0022000500,"FEB 25, 2021",NYK vs. SAC,W,17,1,3,0.333,0,1,0.0,1,2,0.5,0,3,3,0,1,0,1,3,3,10,1
40,22020,1630167,0022000483,"FEB 23, 2021",NYK vs. GSW,L,13,3,3,1.0,1,1,1.0,0,0,0.0,0,2,2,0,1,1,0,0,7,12,1
41,22020,1630167,0022000469,"FEB 21, 2021",NYK vs. MIN,W,9,1,3,0.333,0,1,0.0,0,0,0.0,2,1,3,2,0,0,0,1,2,-7,1
42,22020,1630167,0022000436,"FEB 17, 2021",NYK @ ORL,L,12,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,1,1,0,0,3,-17,1
43,22020,1630167,0022000422,"FEB 15, 2021",NYK vs. ATL,W,11,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,1,3,-9,1
44,22020,1630167,0022000408,"FEB 13, 2021",NYK vs. HOU,W,15,5,9,0.556,1,4,0.25,0,0,0.0,0,3,3,0,0,1,0,2,11,16,1
45,22020,1630167,0022000396,"FEB 12, 2021",NYK @ WAS,W,16,4,5,0.8,0,1,0.0,0,0,0.0,0,3,3,1,0,1,1,1,8,1,1
46,22020,1630167,0022000376,"FEB 09, 2021",NYK @ MIA,L,11,2,3,0.667,0,0,0.0,0,1,0.0,1,0,1,0,0,0,0,1,4,2,1
47,22020,1630167,0022000364,"FEB 07, 2021",NYK vs. MIA,L,10,3,6,0.5,1,3,0.333,0,0,0.0,1,3,4,0,1,0,1,0,7,5,1
48,22020,1630167,0022000351,"FEB 06, 2021",NYK vs. POR,W,9,1,2,0.5,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,1,2,0,1
49,22020,1630167,0022000332,"FEB 03, 2021",NYK @ CHI,W,10,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,2,5,-10,1
50,22020,1630167,0022000315,"FEB 01, 2021",NYK @ CHI,L,9,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,1,2,4,1,1
51,22020,1630167,0022000308,"JAN 31, 2021",NYK vs. LAC,L,13,0,2,0.0,0,2,0.0,2,2,1.0,0,1,1,0,0,0,1,1,2,3,1
52,22020,1630167,0022000291,"JAN 29, 2021",NYK vs. CLE,W,13,2,4,0.5,1,3,0.333,0,0,0.0,0,3,3,1,0,1,0,0,5,4,1
53,22020,1630167,0022000270,"JAN 26, 2021",NYK @ UTA,L,13,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,4,0,1
