,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021700008,291,1626185,Jarell Martin,1610612763,Memphis Grizzlies,2,4,28,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,8,1,1,20171018,MEM,NOP
1,Shot Chart Detail,0021700008,306,1626185,Jarell Martin,1610612763,Memphis Grizzlies,2,3,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,73,243,1,0,20171018,MEM,NOP
2,Shot Chart Detail,0021700008,406,1626185,Jarell Martin,1610612763,Memphis Grizzlies,3,8,10,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,54,1,0,20171018,MEM,NOP
3,Shot Chart Detail,0021700008,418,1626185,Jarell Martin,1610612763,Memphis Grizzlies,3,7,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,35,124,1,0,20171018,MEM,NOP
4,Shot Chart Detail,0021700008,659,1626185,Jarell Martin,1610612763,Memphis Grizzlies,4,4,7,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20171018,MEM,NOP
5,Shot Chart Detail,0021700008,668,1626185,Jarell Martin,1610612763,Memphis Grizzlies,4,3,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,116,228,1,0,20171018,MEM,NOP
6,Shot Chart Detail,0021700033,35,1626185,Jarell Martin,1610612763,Memphis Grizzlies,1,9,14,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,26,1,0,20171021,MEM,GSW
7,Shot Chart Detail,0021700033,85,1626185,Jarell Martin,1610612763,Memphis Grizzlies,1,5,35,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-8,184,1,0,20171021,MEM,GSW
8,Shot Chart Detail,0021700033,400,1626185,Jarell Martin,1610612763,Memphis Grizzlies,3,8,56,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,25,1,0,20171021,MEM,GSW
9,Shot Chart Detail,0021700033,421,1626185,Jarell Martin,1610612763,Memphis Grizzlies,3,7,36,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20171021,MEM,GSW
10,Shot Chart Detail,0021700033,445,1626185,Jarell Martin,1610612763,Memphis Grizzlies,3,5,24,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20171021,MEM,GSW
