,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0021900147,1610612739,CLE,Cleveland,1626224,Cedi Osman,F,,8:33,90.0,89.5,93.4,94.4,-3.4,-5.0,0.0,0.0,0.0,0.0,0.111,0.059,33.3,0.5,0.5,0.15,0.151,104.08,103.86,86.55,19,0.0
1,0021900147,1610612739,CLE,Cleveland,201567,Kevin Love,F,,8:52,95.6,95.0,93.4,94.4,2.2,0.6,0.0,0.0,0.0,0.0,0.444,0.235,25.0,0.5,0.694,0.19,0.192,103.15,102.93,85.78,20,0.174
2,0021900147,1610612739,CLE,Cleveland,202684,Tristan Thompson,C,,9:05,83.9,78.9,90.6,89.5,-6.7,-10.5,0.0,0.0,0.0,0.125,0.0,0.059,0.0,0.7,0.7,0.25,0.265,96.85,100.44,83.7,19,0.161
3,0021900147,1610612739,CLE,Cleveland,1629636,Darius Garland,G,,7:57,100.7,100.0,87.2,88.2,13.5,11.8,0.143,0.0,33.3,0.0,0.222,0.118,0.0,0.0,0.0,0.111,0.112,102.88,102.64,85.53,17,0.0
4,0021900147,1610612739,CLE,Cleveland,1629012,Collin Sexton,G,,9:27,91.0,90.5,99.0,100.0,-8.0,-9.5,0.143,0.5,16.7,0.0,0.111,0.056,33.3,0.333,0.333,0.227,0.229,101.86,101.66,84.72,21,0.027
5,0021900147,1610612739,CLE,Cleveland,1626204,Larry Nance Jr.,,,5:52,66.7,66.7,125.0,127.3,-58.3,-60.6,0.333,0.0,33.3,0.0,0.333,0.2,0.0,0.5,0.5,0.167,0.167,94.8,93.98,78.32,12,0.27
6,0021900147,1610612739,CLE,Cleveland,203903,Jordan Clarkson,,,3:57,50.0,50.0,130.8,128.6,-80.8,-78.6,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.5,0.5,0.375,0.375,90.26,90.99,75.82,8,0.0
7,0021900147,1610612739,CLE,Cleveland,1629645,Kevin Porter Jr.,,,3:21,66.7,66.7,119.0,116.7,-52.4,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.94,85.8,71.5,6,0.0
8,0021900147,1610612739,CLE,Cleveland,203521,Matthew Dellavedova,,,2:28,50.0,50.0,102.5,100.0,-52.5,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,0.5,0.5,86.52,87.69,73.07,4,0.0
9,0021900147,1610612755,PHI,Philadelphia,1627788,Furkan Korkmaz,F,,8:33,93.4,94.4,90.0,89.5,3.4,5.0,0.143,1.0,33.3,0.111,0.125,0.118,33.3,0.0,0.0,0.105,0.104,104.08,103.86,86.55,18,0.016
10,0021900147,1610612755,PHI,Philadelphia,202699,Tobias Harris,F,,7:57,87.2,88.2,100.7,100.0,-13.5,-11.8,0.0,0.0,0.0,0.0,0.125,0.059,0.0,0.0,0.0,0.278,0.275,102.88,102.64,85.53,17,-0.136
11,0021900147,1610612755,PHI,Philadelphia,203954,Joel Embiid,C,,9:23,90.6,89.5,90.0,85.0,0.6,4.5,0.4,0.0,28.6,0.0,0.5,0.235,0.0,0.625,0.717,0.25,0.253,96.2,99.68,83.07,19,0.323
12,0021900147,1610612755,PHI,Philadelphia,1626196,Josh Richardson,G,,9:23,90.6,89.5,90.0,85.0,0.6,4.5,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.667,0.667,0.35,0.354,96.2,99.68,83.07,19,0.161
13,0021900147,1610612755,PHI,Philadelphia,1627732,Ben Simmons,G,,8:33,93.4,94.4,90.0,89.5,3.4,5.0,0.4,2.0,33.3,0.0,0.0,0.0,16.7,1.0,0.694,0.211,0.208,104.08,103.86,86.55,18,0.111
14,0021900147,1610612755,PHI,Philadelphia,203124,Kyle O'Quinn,,,2:31,131.6,140.0,66.7,66.7,64.9,73.3,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,107.95,104.9,87.42,5,0.316
15,0021900147,1610612755,PHI,Philadelphia,203516,James Ennis III,,,2:31,131.6,140.0,66.7,66.7,64.9,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.078,0.333,0.316,107.95,104.9,87.42,5,0.526
16,0021900147,1610612755,PHI,Philadelphia,203118,Mike Scott,,,3:57,130.8,128.6,50.0,50.0,80.8,78.6,0.0,0.0,0.0,0.333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,90.26,90.99,75.82,7,0.045
17,0021900147,1610612755,PHI,Philadelphia,203526,Raul Neto,,,3:21,119.0,116.7,66.7,66.7,52.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.145,84.94,85.8,71.5,6,-0.111
18,0021900147,1610612755,PHI,Philadelphia,1629680,Matisse Thybulle,,,3:21,119.0,116.7,66.7,66.7,52.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.94,85.8,71.5,6,0.167
