,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022000011,130,202692,Alec Burks,1610612752,New York Knicks,1,2,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,0,20201223,IND,NYK
1,Shot Chart Detail,0022000011,140,202692,Alec Burks,1610612752,New York Knicks,1,2,30,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,21,1,0,20201223,IND,NYK
2,Shot Chart Detail,0022000011,145,202692,Alec Burks,1610612752,New York Knicks,1,2,10,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,-20,1,1,20201223,IND,NYK
3,Shot Chart Detail,0022000011,222,202692,Alec Burks,1610612752,New York Knicks,2,9,24,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-92,248,1,1,20201223,IND,NYK
4,Shot Chart Detail,0022000011,229,202692,Alec Burks,1610612752,New York Knicks,2,8,42,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-21,109,1,1,20201223,IND,NYK
5,Shot Chart Detail,0022000011,258,202692,Alec Burks,1610612752,New York Knicks,2,6,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,5,1,1,20201223,IND,NYK
6,Shot Chart Detail,0022000011,304,202692,Alec Burks,1610612752,New York Knicks,2,3,32,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,5,130,1,1,20201223,IND,NYK
7,Shot Chart Detail,0022000011,343,202692,Alec Burks,1610612752,New York Knicks,2,0,46,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,10,1,1,20201223,IND,NYK
8,Shot Chart Detail,0022000011,465,202692,Alec Burks,1610612752,New York Knicks,3,2,51,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-3,274,1,0,20201223,IND,NYK
9,Shot Chart Detail,0022000011,500,202692,Alec Burks,1610612752,New York Knicks,3,1,11,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,0,20201223,IND,NYK
